Location,match_type,osm_id,osm_type,matched_name,geometry_type,longitude,latitude
101 HAHN STUDENT SERVICES,unmatched,,,,,,
102 QUARRY PLAZA,exact_name,37509684.0,way,QUARRY PLAZA,LineString,-122.05569682413793,36.997952046551724
102 QUARRY PLAZA LOADING DOCK,exact_name,37509684.0,way,QUARRY PLAZA,LineString,-122.05569682413793,36.997952046551724
103A EAST FIELD HOUSE,unmatched,,,,,,
103B ATH-REC,unmatched,,,,,,
104 EAST REMOTE,fallback_parent_polygon,34317714.0,way,EAST REMOTE FOOTPATH,LineString,-122.05386836,36.99207678
104 EAST REMOTE PARKMOBILE,fallback_parent_polygon,34317714.0,way,EAST REMOTE FOOTPATH,LineString,-122.05386836,36.99207678
105 UNIVERSITY POLICE,exact_lot_ref,47847063.0,way,105,Polygon,-122.05172874444445,36.97910721111111
106 COWELL COLLEGE,exact_lot_ref,34571151.0,way,CARRIAGE HOUSE,Polygon,-122.05199955909092,36.98002300454545
107 COWELL/STEVENSON,exact_lot_ref,188686286.0,way,107,Polygon,-122.05342585555556,36.997821555555554
108 STEVENSON SERVICE ROAD,exact_lot_ref,190282893.0,way,108,Polygon,-122.05245710833333,36.99771980416667
109 STEVENSON COLLEGE,exact_lot_ref,40815653.0,way,109,Polygon,-122.05275507000002,36.99829731
109 STEVENSON COLLEGE PARKMOBILE,exact_lot_ref,40815653.0,way,109,Polygon,-122.05275507000002,36.99829731
110 STEVENSON COLLEGE,exact_lot_ref,40815652.0,way,110,Polygon,-122.05147087,36.9983274
111A CROWN COLLEGE PIT,exact_name,66444009.0,way,111,Polygon,-122.05530006666667,37.000962433333335
111B CROWN COLLEGE CIRCLE,exact_name,66444009.0,way,111,Polygon,-122.05530006666667,37.000962433333335
112 CORE WEST STRUCTURE,exact_name,1169131635.0,way,CORE WEST,Polygon,-122.06360492307692,36.99913307179487
113 THIMANN LAB,exact_lot_ref,188688748.0,way,113,Polygon,-122.06260027777778,36.99821598888889
