Location,Earliest Time,Latest Time,Ticket Count
101 HAHN STUDENT SERVICES,07:14:00,19:14:00,1773
102 QUARRY PLAZA,07:37:00,20:33:00,332
102 QUARRY PLAZA LOADING DOCK,14:12:00,14:12:00,1
103A EAST FIELD HOUSE,07:02:00,20:03:00,3526
103B ATH-REC,08:50:00,19:30:00,62
104 EAST REMOTE,07:05:00,19:35:00,2973
105 UNIVERSITY POLICE,09:37:00,16:05:00,23
106 COWELL COLLEGE,08:06:00,19:56:00,45
107 COWELL/STEVENSON,07:04:00,20:28:00,1422
108 STEVENSON SERVICE ROAD,03:51:00,20:06:00,606
109 STEVENSON COLLEGE,07:05:00,19:55:00,2296
110 STEVENSON COLLEGE,07:22:00,18:57:00,417
111A CROWN COLLEGE PIT,07:10:00,20:01:00,1121
111B CROWN COLLEGE CIRCLE,07:04:00,20:18:00,324
112 CORE WEST STRUCTURE,07:07:00,19:22:00,4643
113 THIMANN LAB,07:56:00,20:00:00,389
114 JOHN R. LEWIS,07:12:00,19:39:00,171
115 CARRIAGE HOUSE,07:26:00,20:42:00,95
116 CAMPUS FACILITIES,07:16:00,16:44:00,210
117A ADMISSIONS,12:44:00,15:10:00,6
117B COOK HOUSE,10:46:00,14:51:00,10
118 GRANARY,10:57:00,15:09:00,28
119 MERRILL COLLEGE,07:10:00,20:09:00,890
120A LOWER MCHENRY LIBRARY,07:56:00,19:54:00,625
120B LOWER MCHENRY LIBRARY,09:49:00,09:49:00,1
120B UPPER MCHENRY LIBRARY,08:51:00,20:11:00,66
121 BIOMED/SCIENCE LIBRARY,07:33:00,19:52:00,505
122 BARN THEATER,07:07:00,20:20:00,39
123 HEAT PLANT,08:46:00,20:11:00,105
124 PORTER COLLEGE,07:15:00,19:55:00,1420
125 PORTER COLLEGE,07:14:00,20:31:00,1628
126 ARTS,07:05:00,20:10:00,2530
127 WEST REMOTE,07:04:00,20:08:00,705
128 HEALTH CENTER,08:11:00,18:35:00,469
129 FAMILY STUDENT HOUSING - 100 LOOP,07:39:00,15:50:00,25
129-136 FAMILY STUDENT HOUSING,08:02:00,09:36:00,9
130 FAMILY STUDENT HOUSING - 200 LOOP,07:46:00,15:56:00,25
131 FAMILY STUDENT HOUSING - 300 LOOP,07:21:00,14:37:00,31
132 FAMILY STUDENT HOUSING - 400 LOOP,07:17:00,15:13:00,10
133 FAMILY STUDENT HOUSING - 500 LOOP,07:17:00,15:34:00,41
134 FAMILY STUDENT HOUSING - 600 LOOP,07:23:00,16:24:00,30
135 FAMILY STUDENT HOUSING - 700 LOOP,07:12:00,17:40:00,101
136 FAMILY STUDENT HOUSING - 800 LOOP,07:31:00,15:43:00,40
137 TAPS SALES OFFICE,11:46:00,16:56:00,10
138 BASKIN ENGINEERING,07:59:00,20:19:00,271
139A ENGINEERING II,07:42:00,19:54:00,1030
139B COMMUNICATIONS,08:18:00,19:56:00,544
140 FOUNDRY,09:17:00,19:42:00,101
141 KERR HALL,08:44:00,19:26:00,58
142 KRESGE COLLEGE,14:56:00,17:28:00,2
144 COLLEGE NINE,07:53:00,14:03:00,4
144 OAKES COLLEGE,07:00:00,20:25:00,163
145 KRESGE COLLEGE,07:12:00,19:51:00,381
146 RACHEL CARSON COLLEGE,07:04:00,20:23:00,691
147 KRESGE COLLEGE,07:16:00,19:49:00,286
149 HELLER EXTENSION,07:14:00,18:37:00,314
150A NORTH PERIMETER,07:19:00,19:19:00,513
150B NORTH PERIMETER,08:34:00,19:10:00,326
