Ticket #,Issue Date / Time,Location,Viol Code,Violation,Make,Color,Status,Amount
24PK400006,6/3/2024 8:06 AM,160 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,LEXUS,GRAY,Issued,$110.00
24PK400007,6/3/2024 8:09 AM,160 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,BMW,SILV,Issued,$110.00
24PK400008,6/3/2024 8:10 AM,160 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,CHEVR,GOLD,Paid In Full,$75.00
24PK400009,6/3/2024 8:12 AM,160 OAKES COLLEGE,40,PARKING LOT USE,HONDA,SILV,Paid In Full,$75.00
24PK400010,6/3/2024 8:14 AM,160 OAKES COLLEGE,40,PARKING LOT USE,SUBAR,BLUE,Paid In Full,$75.00
24PK400011,6/3/2024 8:16 AM,160 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,MAZDA,WHIT,Paid In Full,$75.00
24PK400012,6/3/2024 8:18 AM,160 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,TOYOT,SILV,Issued,$110.00
24PK400013,6/3/2024 8:19 AM,161 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,ME/BE,BLUE,Issued,$110.00
24PK400014,6/3/2024 8:20 AM,161 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,TOYOT,SILV,Paid In Full,$110.00
24PK400015,6/3/2024 8:22 AM,161,35 (A) UC,NO PARKING PERMIT,HYUND,BLCK,Adjudication Denied,$10.00
24PK400016,6/3/2024 8:23 AM,161 OAKES COLLEGE,35 (A) UC,NO PARKING PERMIT,HYUND,SILV,Issued,$110.00
24PK400017,6/3/2024 8:29 AM,161 OAKES COLLEGE,44,SPECIALLY POSTED AREA,NISSA,BLCK,Issued,$135.00
24PK400018,6/3/2024 8:37 AM,146 RACHEL CARSON COLLEGE,40,PARKING LOT USE,LEXUS,BLCK,Paid In Full,$40.00
24PK400019,6/3/2024 8:39 AM,146 RACHEL CARSON COLLEGE,44,SPECIALLY POSTED AREA,TOYOT,RED,Paid In Full,$100.00
24PK400020,6/3/2024 8:41 AM,146 RACHEL CARSON COLLEGE,44,SPECIALLY POSTED AREA,SUBAR,BLUE,Paid In Full,$135.00
24PK400021,6/3/2024 8:42 AM,146 RACHEL CARSON COLLEGE,44,SPECIALLY POSTED AREA,ME/BE,BRWN,Paid In Full,$100.00
24PK400022,6/3/2024 8:45 AM,146 RACHEL CARSON COLLEGE,22507.8,PARKING IN SPACE FOR THE DISABLED,NISSA,BLUE,Adjudication Denied,$25.00
24P600002,6/3/2024 8:49 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,SUBAR,BLCK,Paid In Full,$50.00
24PK400023,6/3/2024 8:52 AM,WEST FIELD HOUSE,44,SPECIALLY POSTED AREA,CHEVR,RED,Issued,$135.00
24P600003,6/3/2024 8:58 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,HONDA,BLCK,Promise To Pay - Default,$85.00
24P600004,6/3/2024 9:09 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,MAZDA,MARN,Paid In Full,$50.00
24P600005,6/3/2024 9:14 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,HONDA,SILV,Paid In Full,$50.00
24P600006,6/3/2024 9:16 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,MERCU,RED,Paid In Full,$85.00
24P600007,6/3/2024 9:20 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,RED,Paid In Full,$85.00
24P600008,6/3/2024 9:25 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,FORD,WHIT,Paid In Full,$50.00
24P600009,6/3/2024 9:28 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,SILV,Paid In Full,$50.00
24P600010,6/3/2024 9:30 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,TESLA,WHIT,Paid In Full,$50.00
24P600011,6/3/2024 9:32 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,BLCK,Issued,$85.00
24P600012,6/3/2024 9:35 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,GRAY,Paid In Full,$50.00
24P600013,6/3/2024 9:38 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,HONDA,GRAY,Paid In Full,$85.00
24P600014,6/3/2024 9:41 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,SILV,Promise To Pay - Default,$85.00
24P600015,6/3/2024 9:44 AM,104 EAST REMOTE,42(A)UC,EXPIRED PARKMOBILE,LEXUS,WHIT,Adjudication Denied,$50.00
24P600016,6/3/2024 9:57 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,TOYOT,WHIT,Paid In Full,$110.00
24P600017,6/3/2024 10:06 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,ROVER,GREN,Paid In Full,$75.00
24P600018,6/3/2024 10:06 AM,104 EAST REMOTE,35C,TRANSFERRED PERMIT,ROVER,GREN,Paid In Full,$40.00
24P600019,6/3/2024 10:11 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,TOYOT,GRAY,Paid In Full,$110.00
24P600020,6/3/2024 10:12 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,TOYOT,WHIT,Paid In Full,$75.00
24P600021,6/3/2024 10:17 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,TOYOT,RED,Paid In Full,$110.00
24P600022,6/3/2024 10:18 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,VOLKS,GRAY,Issued,$110.00
24P600023,6/3/2024 10:28 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,NISSA,SILV,Promise To Pay - Default,$110.00
24PK400024,6/3/2024 10:41 AM,139A ENGINEERING II,35 (A) UC,NO PARKING PERMIT,HONDA,SILV,Void Approved,$0.00
24PK400025,6/3/2024 10:51 AM,139A ENGINEERING II,35 (A) UC,NO PARKING PERMIT,HONDA,BLUE,Paid In Full,$75.00
24P600024,6/3/2024 10:51 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,HONDA,SILV,Paid In Full,$75.00
24P600025,6/3/2024 10:55 AM,104 EAST REMOTE,35 (A) UC,NO PARKING PERMIT,ME/BE,BLCK,Issued,$110.00
24PK400026,6/3/2024 10:57 AM,139A ENGINEERING II,41,PARKING IN AN AREA NOT DESIGNATED,TOYOT,WHIT,Paid In Full,$115.00
24P300004,6/3/2024 10:58 AM,STEVENSON APARTMENTS,41,PARKING IN AN AREA NOT DESIGNATED,VOLKS,WHIT,Issued,$115.00
24PK400027,6/3/2024 11:03 AM,139A ENGINEERING II,42(A)UC,EXPIRED PARKMOBILE,TESLA,WHIT,Paid In Full,$50.00
24PK400028,6/3/2024 11:13 AM,138 BASKIN ENGINEERING,35 (A) UC,NO PARKING PERMIT,TESLA,WHIT,Issued,$110.00
24PK400029,6/3/2024 11:15 AM,138 BASKIN ENGINEERING,W35B,W- IMPROPER PERMIT DISPLAY,DODGE,GOLD,Warning,$0.00
24PK400030,6/3/2024 11:21 AM,149 HELLER EXTENSION,35 (A) UC,NO PARKING PERMIT,TOYOT,WHIT,Issued,$110.00
24P300005,6/3/2024 11:22 AM,102 QUARRY PLAZA,44,SPECIALLY POSTED AREA,FORD,BLCK,Adjudication Denied,$100.00
24PK400031,6/3/2024 11:24 AM,149 HELLER EXTENSION,35 (A) UC,NO PARKING PERMIT,TESLA,BLUE,Paid In Full,$75.00
24PK400032,6/3/2024 11:29 AM,150A NORTH PERIMETER,42(A)UC,EXPIRED PARKMOBILE,NISSA,GREN,Paid In Full,$50.00
24PK400033,6/3/2024 11:31 AM,150A NORTH PERIMETER,42(A)UC,EXPIRED PARKMOBILE,KIA,ORAN,Paid In Full,$50.00
24PK400034,6/3/2024 11:33 AM,150A NORTH PERIMETER,42(A)UC,EXPIRED PARKMOBILE,ACURA,GRAY,Paid In Full,$85.00
24PK400035,6/3/2024 11:35 AM,150A NORTH PERIMETER,42(A)UC,EXPIRED PARKMOBILE,VOLVO,BLCK,Issued,$85.00
24P600026,6/3/2024 11:37 AM,109 STEVENSON COLLEGE,35 (A) UC,NO PARKING PERMIT,HYUND,BLCK,Citation Dismissed,$0.00
24P600027,6/3/2024 11:39 AM,109 STEVENSON COLLEGE,42(A)UC,EXPIRED PARKMOBILE,JEEP,WHIT,Paid In Full,$50.00
24PK400036,6/3/2024 11:42 AM,138 BASKIN ENGINEERING,43 UC,LOADING ZONE USE,HONDA,BLCK,Issued,$80.00
24PK400037,6/3/2024 11:43 AM,138 BASKIN ENGINEERING,43 UC,LOADING ZONE USE,TOYOT,BLCK,Issued,$80.00
24P600028,6/3/2024 11:52 AM,109 STEVENSON COLLEGE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,GRAY,Paid In Full,$50.00
24P300006,6/3/2024 11:54 AM,103A EAST FIELD HOUSE,W35A,W- NO PARKING PERMIT,HONDA,GREN,Warning,$0.00
24P600029,6/3/2024 11:56 AM,109 STEVENSON COLLEGE,35 (A) UC,NO PARKING PERMIT,GMC,BLCK,Paid In Full,$75.00
24P600030,6/3/2024 12:07 PM,109 STEVENSON COLLEGE,35 (A) UC,NO PARKING PERMIT,HONDA,GRAY,Citation Dismissed,$0.00
24P300007,6/3/2024 12:08 PM,103A EAST FIELD HOUSE,35 (A) UC,NO PARKING PERMIT,MAZDA,WHIT,Issued,$110.00
24P600031,6/3/2024 12:10 PM,109 STEVENSON COLLEGE,35 (A) UC,NO PARKING PERMIT,VOLKS,WHIT,Issued,$110.00
24P600032,6/3/2024 12:11 PM,109 STEVENSON COLLEGE,35 (A) UC,NO PARKING PERMIT,HONDA,WHIT,Paid In Full,$75.00
24P300008,6/3/2024 12:13 PM,103A EAST FIELD HOUSE,35B,IMPROPER PERMIT DISPLAY,CHEVR,GOLD,Adjudication Denied,$45.00
24P600033,6/3/2024 12:20 PM,107 COWELL/STEVENSON,35 (A) UC,NO PARKING PERMIT,HONDA,WHIT,Paid In Full,$75.00
24P300009,6/3/2024 12:22 PM,103A EAST FIELD HOUSE,W35A,W- NO PARKING PERMIT,TOYOT,BLUE,Warning,$0.00
24P600034,6/3/2024 12:23 PM,107 COWELL/STEVENSON,40,PARKING LOT USE,HONDA,GRAY,Paid In Full,$40.00
24P600035,6/3/2024 12:27 PM,107 COWELL/STEVENSON,40,PARKING LOT USE,SUBAR,BLCK,Paid In Full,$75.00
24P600036,6/3/2024 12:29 PM,107 COWELL/STEVENSON,35 (A) UC,NO PARKING PERMIT,TOYOT,WHIT,Issued,$110.00
24P300010,6/3/2024 12:29 PM,103A EAST FIELD HOUSE,35 (A) UC,NO PARKING PERMIT,VOLVO,BLCK,Paid In Full,$110.00
24P600037,6/3/2024 12:32 PM,107 COWELL/STEVENSON,35 (A) UC,NO PARKING PERMIT,TESLA,GRAY,Adjudication Denied,$10.00
24P600038,6/3/2024 12:34 PM,107 COWELL/STEVENSON,40,PARKING LOT USE,TOYOT,GREN,Issued,$75.00
24P300011,6/3/2024 12:39 PM,103A EAST FIELD HOUSE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,SILV,Paid In Full,$85.00
24P600039,6/3/2024 12:39 PM,107 COWELL/STEVENSON,43 UC,LOADING ZONE USE,TOYOT,BLUE,Issued,$80.00
24P300012,6/3/2024 12:44 PM,103A EAST FIELD HOUSE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,MARN,Paid In Full,$50.00
24P600040,6/3/2024 12:46 PM,109 STEVENSON COLLEGE,42(A)UC,EXPIRED PARKMOBILE,TOYOT,GRAY,Adjudication Denied,$85.00
24P300013,6/3/2024 12:49 PM,103A EAST FIELD HOUSE,42(A)UC,EXPIRED PARKMOBILE,MINI,BLCK,Issued,$85.00
24P300014,6/3/2024 1:00 PM,103A EAST FIELD HOUSE,42(A)UC,EXPIRED PARKMOBILE,BMW,BLCK,Citation Dismissed,$0.00
24P300015,6/3/2024 1:02 PM,103A EAST FIELD HOUSE,42(A)UC,EXPIRED PARKMOBILE,SUBAR,SILV,Paid In Full,$50.00
24P300016,6/3/2024 1:10 PM,103A EAST FIELD HOUSE,42(A)UC,EXPIRED PARKMOBILE,HONDA,GRAY,Paid In Full,$50.00
24PK400038,6/3/2024 1:41 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,TOYOT,SILV,Paid In Full,$110.00
24P300017,6/3/2024 1:48 PM,112 CORE WEST STRUCTURE,44,SPECIALLY POSTED AREA,TESLA,GRAY,Paid In Full,$135.00
24PK400039,6/3/2024 1:51 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,BMW,GOLD,Paid In Full,$75.00
24P300018,6/3/2024 1:57 PM,112 CORE WEST STRUCTURE,40,PARKING LOT USE,NISSA,BLCK,Paid In Full,$75.00
24PK400040,6/3/2024 1:58 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,HONDA,BLUE,Issued,$110.00
24PK400041,6/3/2024 2:00 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,HONDA,SILV,Citation Dismissed,$0.00
24PK400042,6/3/2024 2:02 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,BMW,WHIT,Issued,$110.00
24PK400043,6/3/2024 2:04 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,JEEP,BLCK,Citation Dismissed,$0.00
24P300019,6/3/2024 2:06 PM,112 CORE WEST STRUCTURE,40,PARKING LOT USE,SUBAR,SILV,Paid In Full,$40.00
24PK400044,6/3/2024 2:09 PM,112 CORE WEST STRUCTURE,35 (A) UC,NO PARKING PERMIT,HYUND,SILV,Paid In Full,$75.00
24P600041,6/3/2024 2:09 PM,166 COLLEGE NINE,35 (A) UC,NO PARKING PERMIT,HONDA,GRAY,Paid In Full,$110.00
